t_s,true_range_m,est_range_m,bearing_deg,left_rad_s,right_rad_s,detected
51.456,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.488,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.52,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.552,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.584,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.616,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.648,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.68,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.712,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.744,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.776,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.808,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.84,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.872,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.904,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.936,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.968,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.0,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.032,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.064,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.096,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.128,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.16,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.192,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.224,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.256,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.288,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.32,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.352,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.384,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.416,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.448,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.48,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.512,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.544,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.576,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.608,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.64,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.672,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.704,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.736,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.768,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.8,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.832,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.864,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.896,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.928,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.96,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
52.992,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.024,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.056,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.088,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.12,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.152,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.184,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.216,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.248,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.28,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.312,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.344,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.376,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.408,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.44,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.472,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.504,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.536,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.568,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.6,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.632,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.664,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.696,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.728,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.76,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.792,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.824,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.856,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.888,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.92,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.952,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
53.984,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
54.016,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
54.048,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
54.08,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
54.112,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
